key,year,title,doi,empirical_material,role_for_secflowops
ponta2020,2020,"Detection, assessment and mitigation of vulnerabilities in open source dependencies",10.1007/s10664-020-09830-x,"enterprise OSS dependency scans; code-centric static/dynamic analysis","dependency vulnerability detection/mitigation; motivates post-change evidence and application-specific validation"
malik2023,2023,"An empirical study of vulnerabilities in edge frameworks to support security testing improvement",10.1007/s10664-023-10330-x,"empirical vulnerability characterization for edge frameworks","security-testing evidence and vulnerability characterization"
piskachev2023,2023,"Can the configuration of static analyses make resolving security vulnerabilities more effective? - A user study",10.1007/s10664-023-10354-3,"user study on SAST configuration and vulnerability resolution","scanner configuration and actionable security evidence"
bui2024,2024,"APR4Vul: an empirical study of automatic program repair techniques on real-world Java vulnerabilities",10.1007/s10664-023-10415-7,"79 real-world Java vulnerabilities in Vul4J; 10 repair tools","closest empirical repair baseline; testable security patches; Vul4J basis for developer-fix trajectories"
papotti2024,2024,"On the acceptance by code reviewers of candidate security patches suggested by Automated Program Repair tools",10.1007/s10664-024-10506-z,"balanced experiment with 72 valid participants reviewing security patches","patch correctness/acceptance distinction; supports explicit validation beyond patch generation"
charoenwet2024,2024,"Toward effective secure code reviews: an empirical study of security-related coding weaknesses",10.1007/s10664-024-10496-y,"OpenSSL and PHP; 135560 comments; manual annotation of security-related comments","human evidence and CWE-grounded security adjudication"
papotti2025,2025,"On the effects of program slicing for vulnerability detection during code inspection",10.1007/s10664-025-10636-y,"controlled vulnerability-detection/code-inspection experiment","measurement of security evidence under controlled conditions"
mohayeji2025,2025,"Securing dependencies: A comprehensive study of Dependabot's impact on vulnerability mitigation",10.1007/s10664-025-10638-w,"4195 security updates from 978 mature JavaScript projects","real-world security-update lifecycle; motivates non-Java transfer corpus and CI/test covariates"
belozerov2026,2026,"Secure coding with AI – from detection to repair",10.1007/s10664-026-10812-8,"2315 files; scanner-supported detection, manual inspection and repair revalidation","detection-to-repair workflow; reinforces manual validation and rescan design"
reyes2026,2026,"Byam: Fixing Breaking Dependency Updates with Large Language Models",10.1007/s10664-026-10835-1,"103 breaking dependency updates; build/file/error-level validation","same-case repair comparison and native build validation; resolved/persistent/new error transitions"
papotti2026,2026,"Is common sense all you need? Using expert defined rules to identify vulnerability patches instead of machine learning",10.1007/s10664-026-10860-0,"expert-defined rules for vulnerability-patch identification","supports transparent mining/screening rules for real security-fix pairs"
