finding_id,repo,branch,commit_intro,commit_fix,file,line_start,line_end,type,cwe,cve,tool_expected,severity,cvss,source,expected_detection,expected_remediation,match_message_contains,notes
GT-SAST-XSS-001-sample_api,sample_api,controlled_multi_layer,local,local,app.py,14,16,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-SAST-SQLI-001-sample_api,sample_api,controlled_multi_layer,local,local,app.py,19,25,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
GT-SCA-DJANGO-001-sample_api,sample_api,controlled_multi_layer,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin used for scanner validation
GT-SECRET-AWS-001-sample_api,sample_api,controlled_multi_layer,local,local,.env.test,2,3,secret,,,gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-IAC-DOCKER-001-sample_api,sample_api,controlled_multi_layer,local,local,Dockerfile,5,6,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-sample_api,sample_api,controlled_multi_layer,local,local,k8s/deployment.yaml,18,20,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
GT-SAST-XSS-001-controlled_api_s,controlled_api_s,controlled_multi_layer,local,local,app.py,14,16,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-SAST-SQLI-001-controlled_api_s,controlled_api_s,controlled_multi_layer,local,local,app.py,19,25,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
GT-SCA-DJANGO-001-controlled_api_s,controlled_api_s,controlled_multi_layer,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin used for scanner validation
GT-SECRET-AWS-001-controlled_api_s,controlled_api_s,controlled_multi_layer,local,local,.env.test,2,3,secret,,,gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-IAC-DOCKER-001-controlled_api_s,controlled_api_s,controlled_multi_layer,local,local,Dockerfile,5,6,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-controlled_api_s,controlled_api_s,controlled_multi_layer,local,local,k8s/deployment.yaml,18,20,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
GT-SAST-XSS-001-controlled_api_m,controlled_api_m,controlled_multi_layer,local,local,app.py,14,16,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-SAST-SQLI-001-controlled_api_m,controlled_api_m,controlled_multi_layer,local,local,app.py,19,25,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
