adjudication_id,repo,tool,category,severity_reported,cvss_reported,cve,cwe,file,line_start,message,first_run_id,seen_in_runs,seen_post_remediation,review_status,true_positive,confirmed_severity,remediation_required,exploitability_notes,reviewer,review_date,adjudication_notes,post_remediation_runs,reviewer_id,review_status,true_positive,confirmed_severity,evidence_type,remediation_required,exploitability_assessment,review_date,review_notes
ADJ-00081,external_dvna,trivy,iac,high,8.0,,,Dockerfile,,Image user should not be 'root',20260714T120552541986Z_C1_NonBlockingScanning_external_dvna_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00082,external_dvna,trivy,iac,low,2.5,,,Dockerfile,,No HEALTHCHECK defined,20260714T120552541986Z_C1_NonBlockingScanning_external_dvna_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00001,external_flask,trivy,sca,low,4.3,CVE-2026-27205,,examples/celery/requirements.txt,,flask: Flask: Information disclosure via improper caching of session data,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00002,external_flask,trivy,sca,medium,6.1,CVE-2024-22195,,examples/celery/requirements.txt,,jinja2: HTML attribute injection when passing user input as keys to xmlattr filter,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00003,external_flask,trivy,sca,medium,5.4,CVE-2024-34064,,examples/celery/requirements.txt,,jinja2: accepts keys containing non-attribute characters,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00004,external_flask,trivy,sca,medium,8.8,CVE-2024-56201,,examples/celery/requirements.txt,,jinja2: Jinja has a sandbox breakout through malicious filenames,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00005,external_flask,trivy,sca,medium,6.3,CVE-2024-56326,,examples/celery/requirements.txt,,jinja2: Jinja has a sandbox breakout through indirect reference to format method,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00006,external_flask,trivy,sca,medium,8.8,CVE-2025-27516,,examples/celery/requirements.txt,,jinja2: Jinja sandbox breakout through attr filter selecting format method,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00007,external_flask,trivy,sca,high,7.5,CVE-2024-34069,,examples/celery/requirements.txt,,python-werkzeug: user may execute code on a developer's machine,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00008,external_flask,trivy,sca,medium,7.5,CVE-2023-46136,,examples/celery/requirements.txt,,python-werkzeug: high resource consumption leading to denial of service,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00009,external_flask,trivy,sca,medium,5.3,CVE-2024-49766,,examples/celery/requirements.txt,,werkzeug: python-werkzeug: Werkzeug safe_join not safe on Windows,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00010,external_flask,trivy,sca,medium,7.5,CVE-2024-49767,,examples/celery/requirements.txt,,werkzeug: python-werkzeug: Werkzeug possible resource exhaustion when parsing file data in forms,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00011,external_flask,trivy,sca,medium,5.3,CVE-2025-66221,,examples/celery/requirements.txt,,Werkzeug: Werkzeug: Denial of service via Windows device names in path segments,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00012,external_flask,trivy,sca,medium,5.3,CVE-2026-21860,,examples/celery/requirements.txt,, Werkzeug safe_join() allows Windows special device names with compound extensions,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00013,external_flask,trivy,sca,medium,5.3,CVE-2026-27199,,examples/celery/requirements.txt,, Werkzeug safe_join() allows Windows special device names,20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00083,external_gorilla_websocket,trivy,sca,high,7.5,CVE-2024-45338,,go.mod,,golang.org/x/net/html: Non-linear parsing of case-insensitive content in golang.org/x/net/html,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00084,external_gorilla_websocket,trivy,sca,high,8.1,CVE-2026-25681,,go.mod,,golang.org/x/net/html: golang.org/x/net/html: Arbitrary code execution via Cross-Site Scripting,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00085,external_gorilla_websocket,trivy,sca,high,8.1,CVE-2026-27136,,go.mod,,golang.org/x/net/html: golang: golang.org/x/net/html: Cross-Site Scripting via HTML parsing bypass,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00086,external_gorilla_websocket,trivy,sca,high,7.5,CVE-2026-33814,,go.mod,,net/http/internal/http2: golang: golang.org/x/net: Go HTTP/2: Denial of Service via malformed SETTINGS_MAX_FRAME_SIZE frame,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00087,external_gorilla_websocket,trivy,sca,high,8.2,CVE-2026-39821,,go.mod,,golang.org/x/net/idna: golang: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00088,external_gorilla_websocket,trivy,sca,medium,4.4,CVE-2025-22870,,go.mod,,golang.org/x/net/proxy: golang.org/x/net/http/httpproxy: HTTP Proxy bypass using IPv6 Zone IDs in golang.org/x/net,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00089,external_gorilla_websocket,trivy,sca,medium,6.5,CVE-2025-22872,,go.mod,,golang.org/x/net/html: Incorrect Neutralization of Input During Web Page Generation in x/net in golang.org/x/net,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00090,external_gorilla_websocket,trivy,sca,medium,5.3,CVE-2025-47911,,go.mod,,golang.org/x/net/html: Quadratic parsing complexity in golang.org/x/net/html,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00091,external_gorilla_websocket,trivy,sca,medium,5.3,CVE-2025-58190,,go.mod,,golang.org/x/net/html: Infinite parsing loop in golang.org/x/net,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00092,external_gorilla_websocket,trivy,sca,medium,6.5,CVE-2026-25680,,go.mod,,golang.org/x/net/html: golang.org/x/net/html: Denial of Service due to excessive HTML parsing,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00093,external_gorilla_websocket,trivy,sca,medium,6.1,CVE-2026-42502,,go.mod,,golang.org/x/net/html: golang: golang.org/x/net/html: Cross-Site Scripting via unexpected HTML tree rendering,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00094,external_gorilla_websocket,trivy,sca,medium,5.4,CVE-2026-42506,,go.mod,,golang.org/x/net/html: golang.org/x/net/html: Cross-Site Scripting (XSS) via arbitrary HTML parsing,20260714T121135124447Z_C1_NonBlockingScanning_external_gorilla_websocket_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00079,external_nodegoat,trivy,iac,low,2.5,,,Dockerfile,,No HEALTHCHECK defined,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00014,external_nodegoat,trivy,sca,high,7.5,CVE-2024-45590,,package-lock.json,,body-parser: Denial of Service Vulnerability in body-parser,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00015,external_nodegoat,trivy,sca,medium,7.5,CVE-2026-33750,,package-lock.json,,brace-expansion: brace-expansion: Denial of Service via zero step value in brace pattern,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00016,external_nodegoat,trivy,sca,low,3.1,CVE-2025-5889,,package-lock.json,,brace-expansion: juliangruber brace-expansion index.js expand redos,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00017,external_nodegoat,trivy,sca,high,7.5,CVE-2024-4068,,package-lock.json,,braces: fails to limit the number of characters it can handle,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00018,external_nodegoat,trivy,sca,critical,9.8,CVE-2020-7610,,package-lock.json,,bson: Deserialization of Untrusted Data could result in Code injection or Excessive CPU load,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00019,external_nodegoat,trivy,sca,medium,5.4,CVE-2019-2391,,package-lock.json,,Incorrect parsing of certain JSON input may result in js-bson not corr ...,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00020,external_nodegoat,trivy,sca,low,3.7,CVE-2024-47764,,package-lock.json,,"cookie: cookie accepts cookie name, path, and domain with out of bounds characters",20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00021,external_nodegoat,trivy,sca,high,7.5,CVE-2017-20165,,package-lock.json,,A vulnerability classified as problematic has been found in debug-js d ...,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00022,external_nodegoat,trivy,sca,low,5.3,CVE-2017-16137,,package-lock.json,,nodejs-debug: Regular expression Denial of Service,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00023,external_nodegoat,trivy,sca,high,7.5,CVE-2022-38900,,package-lock.json,,decode-uri-component: improper input validation resulting in DoS,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00024,external_nodegoat,trivy,sca,medium,6.1,CVE-2024-29041,,package-lock.json,,express: cause malformed URLs to be evaluated,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00025,external_nodegoat,trivy,sca,low,4.7,CVE-2024-43796,,package-lock.json,,express: Improper Input Handling in Express Redirects,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00026,external_nodegoat,trivy,sca,critical,9.8,CVE-2023-45311,,package-lock.json,,Code injection in fsevents,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
